tcgplayer_id,directLow,market,low,mid
219101 (Foil),4.96,4.05,3.7,5.37
219101 (Nonfoil),3.71,3.57,1.81,3.79
175200 (Foil),,16.75,14.56,17.58
175200 (Nonfoil),12.59,11.27,9.9,12.0
212693 (Nonfoil),5.15,4.27,2.5,4.99
212693 (Foil),5.93,4.94,3.75,5.99
212694 (Nonfoil),6.98,5.34,3.99,6.8
212694 (Foil),20.99,21.2,17.5,23.25
128282 (Foil),94.58,104.4,94.0,100.57
128282 (Nonfoil),55.39,56.92,49.99,64.89
6095 (Nonfoil),20.61,35.35,21.86,34.95
6095 (Foil),,,,
14108 (Nonfoil),,15.18,11.25,15.29
14108 (Foil),,60.0,42.99,48.28
166663 (Foil),31.17,38.0,25.0,38.95
166663 (Nonfoil),13.99,11.3,10.24,12.95
221998 (Foil),10.59,10.59,8.99,12.79
221998 (Nonfoil),6.99,5.78,4.25,7.78
222402 (Nonfoil),,6.66,5.18,6.88
222402 (Foil),,,,
190796 (Foil),24.89,24.15,20.72,25.41
190796 (Nonfoil),4.69,4.73,3.49,5.8
91041 (Nonfoil),9.4,9.27,5.0,10.75
91041 (Foil),15.0,18.72,14.68,17.95
166659 (Nonfoil),10.99,8.84,7.0,9.99
166659 (Foil),24.92,22.49,19.19,25.08
122672 (Foil),12.99,12.8,8.96,13.25
122672 (Nonfoil),4.39,4.56,2.25,6.95
175202 (Foil),19.99,20.05,17.6,20.05
175202 (Nonfoil),7.5,7.35,6.0,9.21
182841 (Foil),15.59,16.53,15.19,18.7
182841 (Nonfoil),7.49,6.38,4.98,8.0
162122 (Nonfoil),2.99,2.85,1.49,3.62
162122 (Foil),,6.06,3.71,6.78
190784 (Nonfoil),8.56,7.54,6.8,9.66
190784 (Foil),32.16,34.64,31.55,35.96
218593 (Foil),9.25,8.95,7.8,10.05
218593 (Nonfoil),8.18,7.16,6.0,8.0
9604 (Nonfoil),17.95,24.15,16.51,23.49
9604 (Foil),,109.7,98.97,119.49
66421 (Nonfoil),9.31,8.13,7.0,9.79
